#QTLName	Parent_1	Parent_2	TraitName	Journal	Year	Volume	Page	Title
SCN 19-2	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 19-3	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 19-4	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 2-1	Hartwig	Williams 82	Reaction to Heterodera glycines	Theoretical and Applied Genetics	1996	92	83-86	Association of RFLP markers with loci conferring broad-based resistance to the soybean cyst nematode (Heterodera glycines).
SCN 2-2	Hartwig	Williams 82	Reaction to Heterodera glycines	Theoretical and Applied Genetics	1996	92	83-86	Association of RFLP markers with loci conferring broad-based resistance to the soybean cyst nematode (Heterodera glycines).
SCN 2-3	Hartwig	Williams 82	Reaction to Heterodera glycines	Theoretical and Applied Genetics	1996	92	83-86	Association of RFLP markers with loci conferring broad-based resistance to the soybean cyst nematode (Heterodera glycines).
SCN 2-4	Hartwig	Williams 82	Reaction to Heterodera glycines	Theoretical and Applied Genetics	1996	92	83-86	Association of RFLP markers with loci conferring broad-based resistance to the soybean cyst nematode (Heterodera glycines).
SCN 20-1	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 20-2	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 20-3	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 20-4	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 21-1	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 21-2	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 21-3	PI438489B	Hamilton	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	102	921-928	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 22-1	PI468916	A81356022	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	103	561-566	Loci underlying resistance to Race 3 of soybean cyst nematode in Glycine soja plant introduction 468916
SCN 22-2	PI468916	A81356022	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	103	561-566	Loci underlying resistance to Race 3 of soybean cyst nematode in Glycine soja plant introduction 468916
SCN 22-3	PI468916	A81356022	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	103	561-566	Loci underlying resistance to Race 3 of soybean cyst nematode in Glycine soja plant introduction 468916
SCN 23-1	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 23-2	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 23-3	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 24-1	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 24-2	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 25-1	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 25-2	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 26-1	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 26-2	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 26-3	PI89772	Hamilton	Reaction to Heterodera glycines	Crop Science	2001	41	1589-1595	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 27-1	Essex	Forrest	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	103	710-717	Forrest resistance to the soybean cyst nematode is bigenic: saturation mapping of the Rhg1 and Rhg4 loci
SCN 27-2	Essex	Forrest	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2001	103	710-717	Forrest resistance to the soybean cyst nematode is bigenic: saturation mapping of the Rhg1 and Rhg4 loci
SCN 28-1	Bell	Colfax	Reaction to Heterodera glycines	Crop Science	2004	44	936-941	Near Isogenic Lines Confirm a Soybean Cyst Nematode Resistance Gene from PI 88788 on Linkage Group J
SCN 28-2	Bell	Colfax	Reaction to Heterodera glycines	Crop Science	2004	44	936-941	Near Isogenic Lines Confirm a Soybean Cyst Nematode Resistance Gene from PI 88788 on Linkage Group J
SCN 28-3	Bell	Colfax	Reaction to Heterodera glycines	Crop Science	2004	44	936-941	Near Isogenic Lines Confirm a Soybean Cyst Nematode Resistance Gene from PI 88788 on Linkage Group J
SCN 28-4	Bell	Colfax	Reaction to Heterodera glycines	Crop Science	2004	44	936-941	Near Isogenic Lines Confirm a Soybean Cyst Nematode Resistance Gene from PI 88788 on Linkage Group J
SCN 29-1	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-10	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-2	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-3	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-4	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-5	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-6	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-7	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-8	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-9	Hamilton	PI 90763	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	965-971	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 3-1	PI437654	BSR101	Reaction to Heterodera glycines	Theor. Appl. Genet.	1995	91	574-581	Genetic mapping of soybean cyst nematode race-3 resistance loci in the soybean PI 437.654
SCN 3-2	PI437654	BSR101	Reaction to Heterodera glycines	Theor. Appl. Genet.	1995	91	574-581	Genetic mapping of soybean cyst nematode race-3 resistance loci in the soybean PI 437.654
SCN 3-3	PI437654	BSR101	Reaction to Heterodera glycines	Theor. Appl. Genet.	1995	91	574-581	Genetic mapping of soybean cyst nematode race-3 resistance loci in the soybean PI 437.654
SCN 30-1	PI 437654	Bell	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	44-49	Rhg1 alleles from soybean PI 437654 and PI 88788 respond differentially to isolates of Heterodera glycines in the greenhouse
SCN 30-2	PI 437654	Bell	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	44-49	Rhg1 alleles from soybean PI 437654 and PI 88788 respond differentially to isolates of Heterodera glycines in the greenhouse
SCN 30-3	PI 437654	Bell	Reaction to Heterodera glycines	Theoretical and Applied Genetics	2005	111	44-49	Rhg1 alleles from soybean PI 437654 and PI 88788 respond differentially to isolates of Heterodera glycines in the greenhouse
SCN 32-1	Toyomusume	Tsurukogane	Reaction to Heterodera glycines					QTL Analysis of Resistance to Soybean Cyst Nematode Race 3 in Soybean Cultivar Toyomusume
SCN 32-2	Toyomusume	Tsurukogane	Reaction to Heterodera glycines					QTL Analysis of Resistance to Soybean Cyst Nematode Race 3 in Soybean Cultivar Toyomusume
SCN 32-3	Toyomusume	Tsurukogane	Reaction to Heterodera glycines					QTL Analysis of Resistance to Soybean Cyst Nematode Race 3 in Soybean Cultivar Toyomusume
SCN 33-1	Magellan	PI 404198A	Reaction to Heterodera glycines					Quantitative Trait Loci Underlying Resistance to Three Soybean Cyst Nematode Populations in Soybean PI 404198A
SCN 33-2	Magellan	PI 404198A	Reaction to Heterodera glycines					Quantitative Trait Loci Underlying Resistance to Three Soybean Cyst Nematode Populations in Soybean PI 404198A
SCN 33-3	Magellan	PI 404198A	Reaction to Heterodera glycines					Quantitative Trait Loci Underlying Resistance to Three Soybean Cyst Nematode Populations in Soybean PI 404198A
SCN 33-4	Magellan	PI 404198A	Reaction to Heterodera glycines					Quantitative Trait Loci Underlying Resistance to Three Soybean Cyst Nematode Populations in Soybean PI 404198A
SCN 33-5	Magellan	PI 404198A	Reaction to Heterodera glycines					Quantitative Trait Loci Underlying Resistance to Three Soybean Cyst Nematode Populations in Soybean PI 404198A
SCN 33-6	Magellan	PI 404198A	Reaction to Heterodera glycines					Quantitative Trait Loci Underlying Resistance to Three Soybean Cyst Nematode Populations in Soybean PI 404198A
SCN 33-7	Magellan	PI 404198A	Reaction to Heterodera glycines					Quantitative Trait Loci Underlying Resistance to Three Soybean Cyst Nematode Populations in Soybean PI 404198A
SCN 34-1	S08-80	PI 464925B	Reaction to Heterodera glycines					QTL associated with horizontal resistance to soybean cyst nematode in Glycine soja PI464925B
SCN 34-2	S08-80	PI 464925B	Reaction to Heterodera glycines					QTL associated with horizontal resistance to soybean cyst nematode in Glycine soja PI464925B
SCN 34-3	S08-80	PI 464925B	Reaction to Heterodera glycines					QTL associated with horizontal resistance to soybean cyst nematode in Glycine soja PI464925B
SCN 34-4	S08-80	PI 464925B	Reaction to Heterodera glycines					QTL associated with horizontal resistance to soybean cyst nematode in Glycine soja PI464925B
SCN 34-5	S08-80	PI 464925B	Reaction to Heterodera glycines					QTL associated with horizontal resistance to soybean cyst nematode in Glycine soja PI464925B
SCN 36-1	Magellan	PI438489B	Reaction to Heterodera glycines					Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 36-2	Magellan	PI438489B	Reaction to Heterodera glycines					Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 36-3	Magellan	PI438489B	Reaction to Heterodera glycines					Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 36-4	Magellan	PI438489B	Reaction to Heterodera glycines					Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 36-5	Magellan	PI438489B	Reaction to Heterodera glycines					Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 36-6	Magellan	PI438489B	Reaction to Heterodera glycines					Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 36-7	Magellan	PI438489B	Reaction to Heterodera glycines					Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 36-8	Magellan	PI438489B	Reaction to Heterodera glycines					Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 37-1	Magellan	PI 567516C	Reaction to Heterodera glycines					Novel quantitative trait loci for broad-based resistance to soybean cyst nematode (Heterodera glycines Ichinohe) in soybean PI 567516C
SCN 37-2	Magellan	PI 567516C	Reaction to Heterodera glycines					Novel quantitative trait loci for broad-based resistance to soybean cyst nematode (Heterodera glycines Ichinohe) in soybean PI 567516C
SCN 37-3	Magellan	PI 567516C	Reaction to Heterodera glycines					Novel quantitative trait loci for broad-based resistance to soybean cyst nematode (Heterodera glycines Ichinohe) in soybean PI 567516C
SCN 37-4	Magellan	PI 567516C	Reaction to Heterodera glycines					Novel quantitative trait loci for broad-based resistance to soybean cyst nematode (Heterodera glycines Ichinohe) in soybean PI 567516C
SCN 38-1	L-10	Heinong 37	Reaction to Heterodera glycines					QTL underlying resistance to two HG types of Heterodera glycines found in soybean cultivar 'L-10'
SCN 38-2	L-10	Heinong 37	Reaction to Heterodera glycines					QTL underlying resistance to two HG types of Heterodera glycines found in soybean cultivar 'L-10'
SCN 38-3	L-10	Heinong 37	Reaction to Heterodera glycines					QTL underlying resistance to two HG types of Heterodera glycines found in soybean cultivar 'L-10'
SCN 38-4	L-10	Heinong 37	Reaction to Heterodera glycines					QTL underlying resistance to two HG types of Heterodera glycines found in soybean cultivar 'L-10'
SCN 38-5	L-10	Heinong 37	Reaction to Heterodera glycines					QTL underlying resistance to two HG types of Heterodera glycines found in soybean cultivar 'L-10'
SCN 38-6	L-10	Heinong 37	Reaction to Heterodera glycines					QTL underlying resistance to two HG types of Heterodera glycines found in soybean cultivar 'L-10'
SCN 38-7	L-10	Heinong 37	Reaction to Heterodera glycines					QTL underlying resistance to two HG types of Heterodera glycines found in soybean cultivar 'L-10'
SCN 39-1	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-10	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-11	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-12	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-2	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-3	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-4	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-5	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-6	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-7	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-8	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-9	PI437654	Essex	Reaction to Heterodera glycines					QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 4-1	Evans	Peking	Reaction to Heterodera glycines	Crop Science	1997	37	258-264	Genome mapping of soybean cyst nematode resistance genes in Peking, PI90763, and PI88788 using DNA markers
SCN 4-2	Evans	Peking	Reaction to Heterodera glycines	Crop Science	1997	37	258-264	Genome mapping of soybean cyst nematode resistance genes in Peking, PI90763, and PI88788 using DNA markers
SCN 4-3	Evans	Peking	Reaction to Heterodera glycines	Crop Science	1997	37	258-264	Genome mapping of soybean cyst nematode resistance genes in Peking, PI90763, and PI88788 using DNA markers
SCN 4-4	Evans	Peking	Reaction to Heterodera glycines	Theoretical and Applied Genetics	1996	93	234-241	Targeted comparative genome analysis and qualitative mapping of a major partial-resistance gene to the soybean cyst nematode.
SCN 40-1	Hartwig	Y23	Reaction to Heterodera glycines					QTL for resistance to soybean cyst nematode races 3, 9, and 14 in cultivar Hartwig
SCN 40-2	Hartwig	Y23	Reaction to Heterodera glycines					QTL for resistance to soybean cyst nematode races 3, 9, and 14 in cultivar Hartwig
SCN 40-3	Hartwig	Y23	Reaction to Heterodera glycines					QTL for resistance to soybean cyst nematode races 3, 9, and 14 in cultivar Hartwig
SCN 40-4	Hartwig	Y23	Reaction to Heterodera glycines					QTL for resistance to soybean cyst nematode races 3, 9, and 14 in cultivar Hartwig
SCN 41-1	Hartwig	Flyer	Reaction to Heterodera glycines					Iso-lines and inbred-lines confirmed loci that underlie resistance from cultivar 'Hartwig' to three soybean cyst nematode populations
SCN 41-2	Hartwig	Flyer	Reaction to Heterodera glycines					Iso-lines and inbred-lines confirmed loci that underlie resistance from cultivar 'Hartwig' to three soybean cyst nematode populations
SCN 41-3	Hartwig	Flyer	Reaction to Heterodera glycines					Iso-lines and inbred-lines confirmed loci that underlie resistance from cultivar 'Hartwig' to three soybean cyst nematode populations
SCN 41-4	Hartwig	Flyer	Reaction to Heterodera glycines					Iso-lines and inbred-lines confirmed loci that underlie resistance from cultivar 'Hartwig' to three soybean cyst nematode populations
SCN 41-5	Hartwig	Flyer	Reaction to Heterodera glycines					Iso-lines and inbred-lines confirmed loci that underlie resistance from cultivar 'Hartwig' to three soybean cyst nematode populations
SCN 42-1	Y23	Hartwig	Reaction to Heterodera glycines					Bayesian mapping of quantitative trait loci (QTL) controlling soybean cyst nematode resistant
SCN 42-2	Y23	Hartwig	Reaction to Heterodera glycines					Bayesian mapping of quantitative trait loci (QTL) controlling soybean cyst nematode resistant
SCN 42-3	Y23	Hartwig	Reaction to Heterodera glycines					Bayesian mapping of quantitative trait loci (QTL) controlling soybean cyst nematode resistant
SCN 42-4	Y23	Hartwig	Reaction to Heterodera glycines					Bayesian mapping of quantitative trait loci (QTL) controlling soybean cyst nematode resistant
SCN 43-1	Hutcheson	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 43-2	Hutcheson	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 43-3	Hutcheson	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 43-4	Hutcheson	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 43-5	Hutcheson	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 43-6	Hutcheson	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 43-7	Hutcheson	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 43-8	Hutcheson	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-1	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-10	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-11	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-12	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-13	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-14	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-15	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-16	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-17	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-2	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-3	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-4	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-5	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-6	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-7	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-8	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 44-9	Williams 82	PI 437655	Reaction to Heterodera glycines	Theoretical and Applied Genetics				Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 45-1	Hamilton	PI 90763	Aluminum Tolerance	Theoretical and Applied Genetics	NULL	NULL	NULL	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 45-2	Hamilton	PI 90763	Aluminum Tolerance	Theoretical and Applied Genetics	NULL	NULL	NULL	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 45-3	Hamilton	PI 90763	Aluminum Tolerance	Theoretical and Applied Genetics	NULL	NULL	NULL	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 45-4	Hamilton	PI 90763	Aluminum Tolerance	Theoretical and Applied Genetics	NULL	NULL	NULL	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 45-5	Hamilton	PI 90763	Aluminum Tolerance	Theoretical and Applied Genetics	NULL	NULL	NULL	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 45-6	Hamilton	PI 90763	Aluminum Tolerance	Theoretical and Applied Genetics	NULL	NULL	NULL	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 46-1	PI 438489B	Hamilton	Reaction to Heterodera glycines	Atlas Journal of Plant Biology	NULL	NULL	NULL	Quantitative Trait Loci (QTL) that Underlie SCN Resistance in Soybean [Glycine max (L.) Merr.] PI438489B by HamiltonÕ Recombinant Inbred Line (RIL) Population
SCN 46-2	PI 438489B	Hamilton	Reaction to Heterodera glycines	Atlas Journal of Plant Biology	NULL	NULL	NULL	Quantitative Trait Loci (QTL) that Underlie SCN Resistance in Soybean [Glycine max (L.) Merr.] PI438489B by HamiltonÕ Recombinant Inbred Line (RIL) Population
SCN 46-3	PI 438489B	Hamilton	Reaction to Heterodera glycines	Atlas Journal of Plant Biology	NULL	NULL	NULL	Quantitative Trait Loci (QTL) that Underlie SCN Resistance in Soybean [Glycine max (L.) Merr.] PI438489B by HamiltonÕ Recombinant Inbred Line (RIL) Population
SCN 46-4	PI 438489B	Hamilton	Reaction to Heterodera glycines	Atlas Journal of Plant Biology	NULL	NULL	NULL	Quantitative Trait Loci (QTL) that Underlie SCN Resistance in Soybean [Glycine max (L.) Merr.] PI438489B by HamiltonÕ Recombinant Inbred Line (RIL) Population
SCN 46-5	PI 438489B	Hamilton	Reaction to Heterodera glycines	Atlas Journal of Plant Biology	NULL	NULL	NULL	Quantitative Trait Loci (QTL) that Underlie SCN Resistance in Soybean [Glycine max (L.) Merr.] PI438489B by HamiltonÕ Recombinant Inbred Line (RIL) Population
SCN 46-6	PI 438489B	Hamilton	Reaction to Heterodera glycines	Atlas Journal of Plant Biology	NULL	NULL	NULL	Quantitative Trait Loci (QTL) that Underlie SCN Resistance in Soybean [Glycine max (L.) Merr.] PI438489B by HamiltonÕ Recombinant Inbred Line (RIL) Population
SCN 46-7	PI 438489B	Hamilton	Reaction to Heterodera glycines	Atlas Journal of Plant Biology	NULL	NULL	NULL	Quantitative Trait Loci (QTL) that Underlie SCN Resistance in Soybean [Glycine max (L.) Merr.] PI438489B by HamiltonÕ Recombinant Inbred Line (RIL) Population
SCN 46-8	PI 438489B	Hamilton	Reaction to Heterodera glycines	Atlas Journal of Plant Biology	NULL	NULL	NULL	Quantitative Trait Loci (QTL) that Underlie SCN Resistance in Soybean [Glycine max (L.) Merr.] PI438489B by HamiltonÕ Recombinant Inbred Line (RIL) Population
SCN 47-1	S5995	Renascenca	Reaction to Heterodera glycines	Pesquisa Agropecuria Brasileira	NULL	NULL	NULL	Validation of microsatellite markers for assisted selection of soybean resistance to cyst nematode races 3 and 14
SCN 48-1	Msoy8001	Conquista	Reaction to Heterodera glycines	Pesquisa Agropecuria Brasileira	NULL	NULL	NULL	Validation of microsatellite markers for assisted selection of soybean resistance to cyst nematode races 3 and 14
SCN 48-2	Msoy8001	Conquista	Reaction to Heterodera glycines	Pesquisa Agropecuria Brasileira	NULL	NULL	NULL	Validation of microsatellite markers for assisted selection of soybean resistance to cyst nematode races 3 and 14
SCN 48-3	Msoy8001	Conquista	Reaction to Heterodera glycines	Pesquisa Agropecuria Brasileira	NULL	NULL	NULL	Validation of microsatellite markers for assisted selection of soybean resistance to cyst nematode races 3 and 14
SCN 5-1	Evans	PI90763	Reaction to Heterodera glycines	Crop Science	1997	37	258-264	Genome mapping of soybean cyst nematode resistance genes in Peking, PI90763, and PI88788 using DNA markers
